0.190461,0.120615,0.099745,0.218406,0.019983,6.5,
0.431076,0.194455,0.106414,0.939653,0.008418,5,
0.886782,0.415968,0.259085,1.47333,0.01057,7,
0.086761,0.04083,0.028125,0.153415,0.010148,6,
0.175024,0.112811,0.091697,0.184858,0.007674,6.5,
1.169175,0.560573,0.357501,1.75308,0.012286,7,
0.180234,0.110113,0.089972,0.200061,0.005733,6.5,
0.458637,0.194094,0.108228,0.981416,0.013385,5,
1.06934,0.482403,0.28752,1.540497,0.002906,7,
1.03119,0.47828,0.296725,1.627946,0.008416,7,
0.085144,0.04195,0.022135,0.185329,0.012191,6,
0.087254,0.036932,0.026494,0.17741,0.017863,6,
0.073102,0.029709,0.022035,0.119195,0.001727,6,
0.092612,0.032587,0.015613,0.193858,0.014777,6,
0.113455,0.06941,0.046308,0.207923,0.004869,3,
0.101523,0.048633,0.034215,0.170032,0.029596,6,
0.064206,0.02446,0.01324,0.10831,0.006344,6,
1.102639,0.538398,0.340996,1.778776,0.003317,7,
0.142314,0.084588,0.051978,0.232508,0.004035,3,
1.195658,0.580631,0.352325,1.848187,0.008346,7,
0.096079,0.055417,0.040013,0.180259,0,4,
0.185724,0.105866,0.091736,0.196229,0.022232,6.5,
1.112132,0.535387,0.342139,1.813448,0.00997,7,

